kind,cell,repetition,update_rate_s,op_id,queue_wait_ms,backend_read_call_ms,worker_read_ms,arrival_to_read_done_ms,candidate_count,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms
read,neo4j-materialized,0,1.0,r0_measured_00022,0.0941,14.5971,16.343,16.4371,689,0.6656,0.633,0.3573
read,neo4j-materialized,0,1.0,r0_measured_00039,0.078,13.6009,15.6387,15.7167,675,0.8298,0.6852,0.4312
read,neo4j-materialized,0,1.0,r0_measured_00032,0.0615,14.0459,15.9583,16.0198,663,0.6595,0.7424,0.4144
read,neo4j-materialized,0,1.0,r0_measured_00038,0.0983,13.5489,15.561,15.6593,680,0.7705,0.7369,0.4056
read,neo4j-materialized,0,1.0,r0_measured_00021,0.0723,12.9776,14.828,14.9003,568,0.6761,0.624,0.4589
read,neo4j-materialized,0,1.0,r0_measured_00036,0.0709,13.4646,16.0269,16.0978,681,0.6697,0.8951,0.8706
read,neo4j-materialized,0,1.0,r0_measured_00029,0.0853,12.7708,14.418,14.5033,663,0.6799,0.5561,0.334
read,neo4j-materialized,0,1.0,r0_measured_00001,0.1671,15.6678,17.3681,17.5352,675,0.6334,0.6416,0.3366
read,neo4j-materialized,0,1.0,r0_measured_00026,0.1067,12.7893,14.1461,14.2528,419,0.5628,0.3984,0.3225
read,neo4j-materialized,0,1.0,r0_measured_00035,0.0764,13.6277,15.394,15.4704,675,0.6174,0.7125,0.3483
read,neo4j-materialized,0,1.0,r0_measured_00033,0.1045,16.1921,17.9713,18.0758,689,0.6618,0.6874,0.3541
read,neo4j-materialized,0,1.0,r0_measured_00012,0.0722,17.3217,19.3883,19.4605,568,0.5932,0.6807,0.6996
read,neo4j-materialized,0,1.0,r0_measured_00006,0.0851,13.857,15.4934,15.5785,663,0.6803,0.567,0.3084
read,neo4j-materialized,0,1.0,r0_measured_00020,0.6544,31.6293,33.3934,34.0478,689,0.7692,0.5782,0.3334
read,neo4j-materialized,0,1.0,r0_measured_00013,0.1027,14.5957,15.8077,15.9104,419,0.5158,0.301,0.3284
read,neo4j-materialized,0,1.0,r0_measured_00025,0.1454,15.1124,17.6426,17.788,680,1.042,0.8785,0.5013
read,neo4j-materialized,0,1.0,r0_measured_00009,0.0766,23.7537,25.5941,25.6707,663,0.7233,0.6657,0.351
read,neo4j-materialized,0,1.0,r0_measured_00014,0.1109,13.4757,16.6539,16.7648,680,1.4882,1.2374,0.3189
read,neo4j-materialized,0,1.0,r0_measured_00010,0.1808,15.5302,17.3366,17.5174,663,0.6535,0.5997,0.4503
read,neo4j-materialized,0,1.0,r0_measured_00008,0.149,12.0473,13.6044,13.7534,568,0.6385,0.5238,0.3252
read,neo4j-materialized,0,1.0,r0_measured_00018,0.0643,12.5906,14.4789,14.5432,681,0.7,0.747,0.3464
read,neo4j-materialized,0,1.0,r0_measured_00017,0.186,22.4142,24.7899,24.9759,689,1.0039,0.8168,0.4446
read,neo4j-materialized,0,1.0,r0_measured_00028,0.0673,8.4041,9.6111,9.6784,419,0.5358,0.3099,0.298
read,neo4j-materialized,0,1.0,r0_measured_00007,0.147,9.7287,11.7896,11.9366,419,0.7998,0.4816,0.652
read,neo4j-materialized,0,1.0,r0_measured_00002,0.0876,12.2839,14.2369,14.3245,663,0.6394,0.8131,0.4149
read,neo4j-materialized,0,1.0,r0_measured_00034,0.1145,14.6136,16.3165,16.431,681,0.6288,0.6252,0.3647
read,neo4j-materialized,0,1.0,r0_measured_00030,0.1358,12.384,14.0486,14.1844,681,0.66,0.5741,0.346
read,neo4j-materialized,0,1.0,r0_measured_00037,0.0889,14.9284,16.7326,16.8215,680,0.7261,0.5967,0.3649
read,neo4j-materialized,0,1.0,r0_measured_00005,0.0869,16.2598,18.94,19.0269,663,0.9763,1.0774,0.5106
read,neo4j-materialized,0,1.0,r0_measured_00019,0.0789,10.7407,12.4229,12.5018,568,0.6978,0.5457,0.3589
read,neo4j-materialized,0,1.0,r0_measured_00016,0.0585,10.6257,13.0182,13.0767,568,1.2299,0.5896,0.3692
read,neo4j-materialized,0,1.0,r0_measured_00003,0.1264,15.0962,16.8012,16.9276,629,0.6536,0.6026,0.3443
read,neo4j-materialized,0,1.0,r0_measured_00031,0.0755,11.8,13.0401,13.1156,419,0.5281,0.3086,0.3385
read,neo4j-materialized,0,1.0,r0_measured_00000,1.2309,14.2722,16.0551,17.286,663,0.6914,0.6507,0.3608
read,neo4j-materialized,0,1.0,r0_measured_00027,0.0862,18.5805,21.1639,21.2501,681,0.9729,0.9787,0.5327
read,neo4j-materialized,0,1.0,r0_measured_00011,0.0816,12.2922,14.4795,14.5611,689,0.8212,0.8525,0.4189
read,neo4j-materialized,0,1.0,r0_measured_00004,0.1235,10.7377,12.2638,12.3873,568,0.5824,0.5515,0.3183
read,neo4j-materialized,0,1.0,r0_measured_00023,0.1327,25.9727,27.7597,27.8924,629,0.7819,0.5699,0.353
