kind,cell,repetition,update_rate_s,op_id,queue_wait_ms,backend_read_call_ms,worker_read_ms,arrival_to_read_done_ms,candidate_count,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms
read,neo4j-native,0,1.0,r0_measured_00013,0.1476,10.5799,11.7666,11.9142,419,0.5058,0.2895,0.3281
read,neo4j-native,0,1.0,r0_measured_00035,0.0937,15.5234,18.0336,18.1273,675,0.8412,1.1023,0.462
read,neo4j-native,0,1.0,r0_measured_00033,0.1536,11.8516,13.4903,13.6439,689,0.6283,0.6108,0.3228
read,neo4j-native,0,1.0,r0_measured_00030,0.1133,12.4732,14.0951,14.2084,681,0.645,0.567,0.3348
read,neo4j-native,0,1.0,r0_measured_00032,0.1062,12.8775,14.3398,14.446,663,0.5407,0.527,0.3201
read,neo4j-native,0,1.0,r0_measured_00009,0.1039,15.593,17.4889,17.5928,663,0.7062,0.6731,0.4216
read,neo4j-native,0,1.0,r0_measured_00037,0.0831,13.4639,15.2179,15.301,680,0.6577,0.6693,0.3487
read,neo4j-native,0,1.0,r0_measured_00023,0.1082,35.5673,37.6329,37.7411,629,1.0527,0.6047,0.3328
read,neo4j-native,0,1.0,r0_measured_00018,0.1317,14.2789,16.0287,16.1604,681,0.6316,0.6942,0.3369
read,neo4j-native,0,1.0,r0_measured_00014,0.0958,13.7831,15.3339,15.4297,680,0.6602,0.5083,0.3097
read,neo4j-native,0,1.0,r0_measured_00011,0.0975,13.1896,14.887,14.9845,689,0.7068,0.5944,0.3137
read,neo4j-native,0,1.0,r0_measured_00034,0.0943,12.9467,14.4671,14.5614,681,0.5929,0.5284,0.3248
read,neo4j-native,0,1.0,r0_measured_00007,0.1043,10.0148,11.2488,11.3531,419,0.5138,0.2938,0.351
read,neo4j-native,0,1.0,r0_measured_00026,0.0817,8.992,10.1105,10.1922,419,0.4842,0.2706,0.2938
read,neo4j-native,0,1.0,r0_measured_00039,0.1048,14.8252,16.4686,16.5734,675,0.6072,0.5832,0.3594
read,neo4j-native,0,1.0,r0_measured_00002,0.0827,15.0916,16.8455,16.9282,663,0.6643,0.6686,0.3411
read,neo4j-native,0,1.0,r0_measured_00025,0.0384,13.813,15.7935,15.8319,680,0.7515,0.681,0.4542
read,neo4j-native,0,1.0,r0_measured_00010,0.1167,12.0987,13.7376,13.8543,663,0.6718,0.5836,0.3119
read,neo4j-native,0,1.0,r0_measured_00001,0.1158,20.83,22.8294,22.9452,675,0.7857,0.7063,0.4087
read,neo4j-native,0,1.0,r0_measured_00005,0.0853,13.5957,15.4724,15.5577,663,0.766,0.6364,0.3803
read,neo4j-native,0,1.0,r0_measured_00004,0.0763,12.2604,14.5846,14.6609,568,0.8494,0.8337,0.5329
read,neo4j-native,0,1.0,r0_measured_00038,0.1607,21.5942,23.2437,23.4044,680,0.6395,0.5635,0.3661
read,neo4j-native,0,1.0,r0_measured_00031,0.0673,12.0725,14.7801,14.8474,419,1.2213,0.578,0.7487
read,neo4j-native,0,1.0,r0_measured_00017,0.0676,18.0993,19.6192,19.6868,689,0.5891,0.5497,0.3052
read,neo4j-native,0,1.0,r0_measured_00036,0.1319,16.2357,19.4272,19.5591,681,0.8175,1.1906,1.0572
read,neo4j-native,0,1.0,r0_measured_00027,0.1169,11.8893,13.4102,13.5271,681,0.6097,0.5138,0.321
read,neo4j-native,0,1.0,r0_measured_00003,0.1201,13.9958,15.9416,16.0617,629,0.8198,0.6885,0.3577
read,neo4j-native,0,1.0,r0_measured_00008,0.0692,10.7637,12.505,12.5742,568,0.7034,0.5858,0.3714
read,neo4j-native,0,1.0,r0_measured_00020,0.458,42.2253,44.5054,44.9634,689,0.9288,0.7456,0.4978
read,neo4j-native,0,1.0,r0_measured_00006,0.0793,13.2067,16.0494,16.1287,663,1.1678,1.0135,0.5423
read,neo4j-native,0,1.0,r0_measured_00021,0.0616,14.0729,16.3442,16.4058,568,0.6965,0.7907,0.6889
read,neo4j-native,0,1.0,r0_measured_00000,0.9793,12.4167,14.2802,15.2595,663,0.7135,0.6793,0.3874
read,neo4j-native,0,1.0,r0_measured_00029,0.0839,12.3202,14.2338,14.3177,663,0.8427,0.6776,0.3194
read,neo4j-native,0,1.0,r0_measured_00019,0.0955,10.8798,12.5153,12.6108,568,0.6589,0.5559,0.3397
read,neo4j-native,0,1.0,r0_measured_00022,0.0724,16.173,18.2027,18.2751,689,0.8695,0.6793,0.3876
read,neo4j-native,0,1.0,r0_measured_00028,0.108,8.714,10.1851,10.2931,419,0.6305,0.3526,0.4092
read,neo4j-native,0,1.0,r0_measured_00016,0.1728,14.0403,15.4344,15.6072,568,0.5545,0.464,0.3121
read,neo4j-native,0,1.0,r0_measured_00012,0.1592,11.4094,12.899,13.0582,568,0.6052,0.4893,0.3182
