backend_ms,candidate_count,candidate_fetch_ms,commit_ms,dense_scoring_ms,dense_upsert_ms,fresh_hit_at_10,full_write_ack_call_ms,graph_projection_ok,graph_visible_ms,latency_ms,op_id,op_type,phase,projection_fetch_ms,ranking_ms,relation_candidate_ok,relation_check_ms,sparse_scoring_ms,sparse_upsert_ms,status,zscore_fusion_ms
19.0371,663,,,0.9994,,,,,,22.1639,r0_measured_00000,read,measured,,,,,1.0927,,ok,0.9207
22.1465,675,,,1.1043,,,,,,25.6707,r0_measured_00001,read,measured,,,,,1.3261,,ok,0.9576
25.077,663,,,1.2598,,,,,,27.9449,r0_measured_00002,read,measured,,,,,0.641,,ok,0.8635
22.5312,629,,,0.8512,,,,,,24.6059,r0_measured_00003,read,measured,,,,,0.7211,,ok,0.4118
13.3622,568,,,0.578,,,,,,15.0446,r0_measured_00004,read,measured,,,,,0.662,,ok,0.3634
13.4739,663,,,0.9523,,,,,,16.0576,r0_measured_00005,read,measured,,,,,0.644,,ok,0.884
14.0932,663,,,0.7163,,,,,,16.0051,r0_measured_00006,read,measured,,,,,0.7457,,ok,0.3661
10.2457,419,,,0.3021,,,,,,11.574,r0_measured_00007,read,measured,,,,,0.5519,,ok,0.4027
12.9956,568,,,0.6289,,,,,,14.7682,r0_measured_00008,read,measured,,,,,0.6823,,ok,0.3835
14.9514,663,,,0.6752,,,,,,16.9248,r0_measured_00009,read,measured,,,,,0.831,,ok,0.3877
13.8547,663,,,0.6766,,,,,,15.7429,r0_measured_00010,read,measured,,,,,0.6727,,ok,0.4546
15.8118,689,,,0.5364,,,,,,17.4248,r0_measured_00011,read,measured,,,,,0.6548,,ok,0.3416
12.0005,568,,,0.5697,,,,,,13.6059,r0_measured_00012,read,measured,,,,,0.6147,,ok,0.3499
10.0505,419,,,0.3562,,,,,,11.4138,r0_measured_00013,read,measured,,,,,0.5649,,ok,0.3755
13.1308,680,,,0.6723,,,,,,14.9653,r0_measured_00014,read,measured,,,,,0.7238,,ok,0.3634
84.6572,681,15.7776,4.6496,0.6398,2.592,1,4.6476,1,26.3921,86.4461,r0_measured_00015,update,measured,21.7425,1.7889,1,18.3641,0.6815,21.5314,ok,0.3859
13.3908,568,,,0.6991,,,,,,15.2328,r0_measured_00016,read,measured,,,,,0.5828,,ok,0.4826
13.5805,689,,,0.9138,,,,,,16.228,r0_measured_00017,read,measured,,,,,0.8602,,ok,0.7838
13.3681,681,,,0.8387,,,,,,15.5513,r0_measured_00018,read,measured,,,,,0.7588,,ok,0.488
13.6719,568,,,0.6996,,,,,,15.6223,r0_measured_00019,read,measured,,,,,0.7686,,ok,0.3998
14.6803,688,,,1.1485,,,,,,16.9505,r0_measured_00020,read,measured,,,,,0.6751,,ok,0.3694
10.634,568,,,0.5773,,,,,,12.2978,r0_measured_00021,read,measured,,,,,0.6429,,ok,0.376
14.5523,689,,,0.9531,,,,,,17.324,r0_measured_00022,read,measured,,,,,0.7279,,ok,0.975
16.563,629,,,0.5871,,,,,,18.4141,r0_measured_00023,read,measured,,,,,0.7914,,ok,0.3886
66.7405,369,10.5616,6.1345,0.3091,1.6325,0,6.1325,1,23.778,68.4478,r0_measured_00024,update,measured,17.6435,1.7073,1,14.1182,0.5685,16.6502,ok,0.7304
15.2151,680,,,0.6217,,,,,,16.9415,r0_measured_00025,read,measured,,,,,0.6598,,ok,0.3602
9.5996,419,,,0.338,,,,,,10.9634,r0_measured_00026,read,measured,,,,,0.583,,ok,0.371
14.025,681,,,0.8277,,,,,,16.1353,r0_measured_00027,read,measured,,,,,0.7621,,ok,0.4312
11.7176,419,,,0.2972,,,,,,13.0751,r0_measured_00028,read,measured,,,,,0.5933,,ok,0.3993
14.928,663,,,0.9876,,,,,,17.5803,r0_measured_00029,read,measured,,,,,0.7193,,ok,0.8397
13.4675,681,,,0.7966,,,,,,15.8168,r0_measured_00030,read,measured,,,,,0.6491,,ok,0.8122
13.7206,419,,,0.2915,,,,,,14.9067,r0_measured_00031,read,measured,,,,,0.4987,,ok,0.3385
15.6137,663,,,0.6458,,,,,,17.8749,r0_measured_00032,read,measured,,,,,1.1288,,ok,0.409
16.3953,689,,,0.9154,,,,,,19.3838,r0_measured_00033,read,measured,,,,,1.0859,,ok,0.854
15.0314,681,,,0.7901,,,,,,17.1546,r0_measured_00034,read,measured,,,,,0.8134,,ok,0.4265
14.4186,675,,,0.6459,,,,,,16.1408,r0_measured_00035,read,measured,,,,,0.627,,ok,0.3673
13.6653,681,,,1.0023,,,,,,16.3457,r0_measured_00036,read,measured,,,,,0.6374,,ok,0.9096
17.8739,680,,,0.8314,,,,,,19.9375,r0_measured_00037,read,measured,,,,,0.6148,,ok,0.5212
12.7559,680,,,0.9159,,,,,,15.6078,r0_measured_00038,read,measured,,,,,0.9968,,ok,0.8326
12.435,675,,,0.51,,,,,,13.9743,r0_measured_00039,read,measured,,,,,0.6303,,ok,0.3335
12.6171,675,,,0.5278,,,,,,14.1414,r0_measured_00040,read,measured,,,,,0.6017,,ok,0.3282
13.7043,675,,,0.6159,,,,,,15.3343,r0_measured_00041,read,measured,,,,,0.6316,,ok,0.3058
12.1693,509,,,0.701,,,,,,14.0491,r0_measured_00042,read,measured,,,,,0.6966,,ok,0.4149
13.215,568,,,0.5906,,,,,,14.9189,r0_measured_00043,read,measured,,,,,0.6485,,ok,0.384
12.5607,663,,,0.5167,,,,,,14.1426,r0_measured_00044,read,measured,,,,,0.6068,,ok,0.3863
13.7183,675,,,0.6189,,,,,,15.4978,r0_measured_00045,read,measured,,,,,0.7313,,ok,0.3449
11.6323,419,,,0.2574,,,,,,12.8714,r0_measured_00046,read,measured,,,,,0.5512,,ok,0.3687
10.4706,509,,,0.5961,,,,,,12.1647,r0_measured_00047,read,measured,,,,,0.6446,,ok,0.3798
10.9228,509,,,0.5672,,,,,,12.5597,r0_measured_00048,read,measured,,,,,0.673,,ok,0.3349
11.8943,675,,,0.6055,,,,,,13.5654,r0_measured_00049,read,measured,,,,,0.6456,,ok,0.341
