backend_ms,candidate_count,candidate_fetch_ms,commit_ms,dense_scoring_ms,dense_upsert_ms,fresh_hit_at_10,full_write_ack_call_ms,graph_projection_ok,graph_visible_ms,latency_ms,op_id,op_type,phase,projection_fetch_ms,ranking_ms,relation_candidate_ok,relation_check_ms,sparse_scoring_ms,sparse_upsert_ms,status,zscore_fusion_ms
12.8968,663,,,0.6629,,,,,,14.8124,r0_measured_00000,read,measured,,,,,0.7525,,ok,0.4191
16.2403,675,,,0.7171,,,,,,18.1474,r0_measured_00001,read,measured,,,,,0.7097,,ok,0.397
13.4434,663,,,0.6163,,,,,,15.2153,r0_measured_00002,read,measured,,,,,0.6709,,ok,0.4042
12.2794,629,,,0.5709,,,,,,13.8905,r0_measured_00003,read,measured,,,,,0.6195,,ok,0.3399
11.6398,568,,,0.5875,,,,,,13.3383,r0_measured_00004,read,measured,,,,,0.6718,,ok,0.3582
13.6849,663,,,0.5494,,,,,,15.4649,r0_measured_00005,read,measured,,,,,0.7548,,ok,0.3785
13.2284,663,,,0.5813,,,,,,15.0359,r0_measured_00006,read,measured,,,,,0.7376,,ok,0.4
9.617,419,,,0.2845,,,,,,10.8195,r0_measured_00007,read,measured,,,,,0.5198,,ok,0.3381
10.8245,568,,,0.6232,,,,,,12.4765,r0_measured_00008,read,measured,,,,,0.6013,,ok,0.3571
13.0792,663,,,0.6172,,,,,,14.7954,r0_measured_00009,read,measured,,,,,0.666,,ok,0.3539
13.4496,663,,,0.6533,,,,,,15.2955,r0_measured_00010,read,measured,,,,,0.7208,,ok,0.3872
14.5166,689,,,0.6837,,,,,,16.4152,r0_measured_00011,read,measured,,,,,0.7464,,ok,0.3728
12.223,568,,,0.5259,,,,,,13.7483,r0_measured_00012,read,measured,,,,,0.582,,ok,0.3455
8.8713,419,,,0.2888,,,,,,10.1387,r0_measured_00013,read,measured,,,,,0.5134,,ok,0.3774
14.9183,680,,,0.648,,,,,,16.9001,r0_measured_00014,read,measured,,,,,0.7357,,ok,0.4954
80.9889,681,14.0888,6.9859,0.7039,2.6371,1,6.9837,1,28.2467,82.7863,r0_measured_00015,update,measured,21.2608,1.7974,1,16.1961,0.651,19.8202,ok,0.3559
12.718,568,,,0.6485,,,,,,14.4364,r0_measured_00016,read,measured,,,,,0.6021,,ok,0.3849
14.1027,689,,,0.5179,,,,,,15.726,r0_measured_00017,read,measured,,,,,0.6769,,ok,0.3425
13.4468,681,,,0.5877,,,,,,15.1843,r0_measured_00018,read,measured,,,,,0.7082,,ok,0.3613
12.5347,568,,,0.5757,,,,,,14.3498,r0_measured_00019,read,measured,,,,,0.7269,,ok,0.4308
15.1051,688,,,0.7546,,,,,,17.076,r0_measured_00020,read,measured,,,,,0.7689,,ok,0.3517
11.9051,568,,,0.5067,,,,,,13.4188,r0_measured_00021,read,measured,,,,,0.5967,,ok,0.3408
13.8586,689,,,1.5334,,,,,,18.3754,r0_measured_00022,read,measured,,,,,2.1369,,ok,0.6908
18.4974,629,,,0.6288,,,,,,20.2775,r0_measured_00023,read,measured,,,,,0.6867,,ok,0.3809
63.4318,369,9.915,6.1981,0.2859,1.6874,0,6.1965,1,24.4558,64.7072,r0_measured_00024,update,measured,18.2577,1.2754,1,14.6198,0.5422,12.7538,ok,0.3798
14.6203,680,,,0.5613,,,,,,16.3702,r0_measured_00025,read,measured,,,,,0.6996,,ok,0.4036
9.1229,419,,,0.3004,,,,,,10.3434,r0_measured_00026,read,measured,,,,,0.5097,,ok,0.3468
13.3082,681,,,0.6376,,,,,,15.1833,r0_measured_00027,read,measured,,,,,0.6525,,ok,0.4972
10.1567,419,,,0.3007,,,,,,11.4738,r0_measured_00028,read,measured,,,,,0.5969,,ok,0.3488
13.4708,663,,,0.5351,,,,,,15.1814,r0_measured_00029,read,measured,,,,,0.7336,,ok,0.3625
15.4112,681,,,0.5804,,,,,,17.2041,r0_measured_00030,read,measured,,,,,0.7486,,ok,0.3818
9.4816,419,,,0.2641,,,,,,10.623,r0_measured_00031,read,measured,,,,,0.4833,,ok,0.3338
14.7958,663,,,0.6627,,,,,,16.6507,r0_measured_00032,read,measured,,,,,0.6605,,ok,0.434
15.0465,689,,,0.5262,,,,,,16.6628,r0_measured_00033,read,measured,,,,,0.682,,ok,0.3304
13.2993,681,,,0.6692,,,,,,15.1323,r0_measured_00034,read,measured,,,,,0.7244,,ok,0.3523
13.0551,675,,,0.6109,,,,,,14.9517,r0_measured_00035,read,measured,,,,,0.8278,,ok,0.3791
13.804,681,,,0.6192,,,,,,15.5517,r0_measured_00036,read,measured,,,,,0.6822,,ok,0.3495
12.7299,680,,,0.5905,,,,,,14.3893,r0_measured_00037,read,measured,,,,,0.637,,ok,0.3516
16.797,680,,,0.5811,,,,,,18.604,r0_measured_00038,read,measured,,,,,0.7299,,ok,0.3979
13.8762,675,,,0.5335,,,,,,15.4867,r0_measured_00039,read,measured,,,,,0.6557,,ok,0.342
14.0877,675,,,0.5224,,,,,,15.713,r0_measured_00040,read,measured,,,,,0.6822,,ok,0.3416
14.2133,675,,,0.6253,,,,,,16.1614,r0_measured_00041,read,measured,,,,,0.6942,,ok,0.5305
11.9872,509,,,0.5021,,,,,,13.5234,r0_measured_00042,read,measured,,,,,0.6242,,ok,0.3372
11.0894,568,,,0.5234,,,,,,12.7497,r0_measured_00043,read,measured,,,,,0.7338,,ok,0.331
13.0609,663,,,0.6728,,,,,,14.9535,r0_measured_00044,read,measured,,,,,0.7446,,ok,0.3846
13.9674,675,,,0.6225,,,,,,15.7711,r0_measured_00045,read,measured,,,,,0.7394,,ok,0.3517
10.0084,419,,,0.4176,,,,,,11.4438,r0_measured_00046,read,measured,,,,,0.5972,,ok,0.3487
11.7625,509,,,0.6038,,,,,,13.6176,r0_measured_00047,read,measured,,,,,0.7604,,ok,0.4137
12.0564,509,,,0.5571,,,,,,13.856,r0_measured_00048,read,measured,,,,,0.7789,,ok,0.3901
14.4746,675,,,0.5954,,,,,,16.2787,r0_measured_00049,read,measured,,,,,0.7515,,ok,0.3738
15.3807,680,,,0.622,,,,,,17.2121,r0_measured_00050,read,measured,,,,,0.7281,,ok,0.3922
14.5892,663,,,0.5745,,,,,,16.2676,r0_measured_00051,read,measured,,,,,0.6604,,ok,0.3582
10.9741,369,,,0.3167,,,,,,12.3792,r0_measured_00052,read,measured,,,,,0.6111,,ok,0.4034
15.5104,663,,,0.646,,,,,,17.2718,r0_measured_00053,read,measured,,,,,0.6721,,ok,0.3604
15.2232,681,,,0.7597,,,,,,17.2924,r0_measured_00054,read,measured,,,,,0.7906,,ok,0.4194
12.9779,568,,,0.5405,,,,,,14.6653,r0_measured_00055,read,measured,,,,,0.6579,,ok,0.3956
12.1531,509,,,0.6248,,,,,,14.0347,r0_measured_00056,read,measured,,,,,0.7822,,ok,0.3846
14.565,663,,,0.635,,,,,,16.3503,r0_measured_00057,read,measured,,,,,0.6712,,ok,0.3939
14.2934,681,,,0.7843,,,,,,16.2297,r0_measured_00058,read,measured,,,,,0.6783,,ok,0.3839
14.5274,680,,,0.5728,,,,,,16.2403,r0_measured_00059,read,measured,,,,,0.6936,,ok,0.3648
14.0027,680,,,0.6057,,,,,,15.7213,r0_measured_00060,read,measured,,,,,0.6484,,ok,0.3772
14.2761,629,,,0.5605,,,,,,15.9278,r0_measured_00061,read,measured,,,,,0.6518,,ok,0.3567
9.966,419,,,0.2905,,,,,,11.3068,r0_measured_00062,read,measured,,,,,0.5901,,ok,0.3929
9.6537,419,,,0.3515,,,,,,11.0926,r0_measured_00063,read,measured,,,,,0.6192,,ok,0.3919
15.5393,681,,,0.7078,,,,,,17.4719,r0_measured_00064,read,measured,,,,,0.7413,,ok,0.3966
12.4009,509,,,0.5674,,,,,,14.1085,r0_measured_00065,read,measured,,,,,0.6529,,ok,0.4009
11.2994,419,,,0.2937,,,,,,12.5873,r0_measured_00066,read,measured,,,,,0.5763,,ok,0.3501
9.0686,419,,,0.2831,,,,,,10.3827,r0_measured_00067,read,measured,,,,,0.5429,,ok,0.4219
8.4717,369,,,0.2813,,,,,,9.7697,r0_measured_00068,read,measured,,,,,0.5773,,ok,0.3735
9.1419,369,,,0.2533,,,,,,10.2662,r0_measured_00069,read,measured,,,,,0.4813,,ok,0.3289
95.1765,680,15.0058,13.0804,0.64,2.5111,1,13.0788,1,34.0275,96.9946,r0_measured_00070,update,measured,20.9471,1.8181,1,17.4721,0.7204,26.16,ok,0.3703
14.5392,663,,,0.5923,,,,,,16.3322,r0_measured_00071,read,measured,,,,,0.6898,,ok,0.4222
16.5132,680,,,0.6102,,,,,,18.532,r0_measured_00072,read,measured,,,,,0.8969,,ok,0.4209
