memory_id,entities,relations,keywords
conv-26_session_10_D10:1,,,
conv-26_session_10_D10:10,,,
conv-26_session_10_D10:11,,,
conv-26_session_10_D10:12,"camping, marshmallows, melanie, roast, trip",include,"always, around, campfire, camping, company, enjoy, family, forward, highlight, look, marshmallows, melanie, roast, stories, summer, tell, trip"
conv-26_session_10_D10:13,,,
conv-26_session_10_D10:14,"melanie, meteor, perseid, shower",watch,"always, amazing, camping, felt, forget, last, light, lying, made, melanie, memory, meteor, never, one, perseid, remember, saw, shower, sky, streaks"
conv-26_session_10_D10:15,,,
conv-26_session_10_D10:16,,,
conv-26_session_10_D10:17,,,
conv-26_session_10_D10:18,,,
conv-26_session_10_D10:19,,,
conv-26_session_10_D10:2,,,
conv-26_session_10_D10:20,"child, melanie, memory, taking, youngest",treasure,"able, child, day, first, fleeting, forget, initial, into, life, lucky, melanie, memory, moments, never, perspective, put, really, seeing, share, steps"
conv-26_session_10_D10:21,,,
conv-26_session_10_D10:22,,,
conv-26_session_10_D10:23,,,
conv-26_session_10_D10:24,,,
conv-26_session_10_D10:3,"activist, called, caroline, connected, group, lgbtq, new",join,"activist, called, caroline, chatted, community, connected, cool, difference, fulfilling, giving, great, group, happened, hey, joined, know, last, lgbtq, lot, making"
conv-26_session_10_D10:4,,,
conv-26_session_10_D10:5,"caroline, changes, positive",support,"activists, awesome, campaigns, caroline, changes, connected, events, get, group, investing, kinds, lgbtq, made, meetings, melanie, others, people, plan, platform, positive"
conv-26_session_10_D10:6,,,
conv-26_session_10_D10:7,"caroline, parade, pride",participate,"alone, caroline, celebrating, change, city, diversity, equality, fight, flags, held, holding, inclusivity, last, love, many, marched, missed, parade, people, possible"
conv-26_session_10_D10:8,"beach, family, kids, melanie, trips",enjoy,"atmosphere, awesome, beach, bet, blast, caroline, family, fantastic, incredible, kids, melanie, oh, recently, trips, went, wow, yeah"
conv-26_session_10_D10:9,,,
conv-26_session_11_D11:1,"birthday, daughter, melanie, moments, special","celebrate, value","amazing, awesome, birthday, breeze, caroline, celebrated, concert, daughter, hey, joy, kids, last, melanie, moments, music, night, seeing, smiles, special, summer"
conv-26_session_11_D11:10,"caroline, focus",focus,"art, caroline, community, experience, expressing, focus, helping, people, showing, story, trans, understand, way"
conv-26_session_11_D11:11,,,
conv-26_session_11_D11:12,"caroline, paint",paint,"acceptance, aim, caroline, comfort, embracing, finding, identity, journey, love, melanie, one, paint, painting, self, show, stands, thanks, warmth, woman"
conv-26_session_11_D11:13,"art, caroline, melanie",admire,"acceptance, art, caroline, discovery, gorgeous, help, journey, love, melanie, self, theme, wow"
conv-26_session_11_D11:14,"caroline, heal",heal,"accept, allowed, art, beauty, body, caroline, changing, explore, going, great, heal, imperfections, love, stuff, teaches, transition, way, work"
conv-26_session_11_D11:15,,,
conv-26_session_11_D11:16,"art, caroline, experiences",share,"art, caroline, experiences, lot, means, melanie, share, thanks"
conv-26_session_11_D11:17,,,
conv-26_session_11_D11:2,,,
conv-26_session_11_D11:3,,,
conv-26_session_11_D11:4,"caroline, parade, pride",attend,"awesome, blast, caroline, concert, energy, equality, everywhere, friday, glad, happened, important, keep, last, lot, love, made, mel, much, parade, pride"
conv-26_session_11_D11:5,,,
conv-26_session_11_D11:6,,,
conv-26_session_11_D11:7,"appreciate, melanie, value","appreciate, value","accepting, appreciate, artist, awesome, blast, caroline, cultivate, environment, everyone, important, inclusive, kids, last, like, looks, loving, melanie, night, pic, reminds"
conv-26_session_11_D11:8,"art, caroline, diversity, inclusivity",represent,"acceptance, art, caroline, community, cool, diversity, important, inclusivity, lgbtq, painting, pic, push, recent, representing, speak, use"
conv-26_session_11_D11:9,,,
conv-26_session_12_D12:1,"accept, caroline, conservatives, group, into, religious, upset","accept, run","accept, around, caroline, conservatives, doin, experience, great, group, helpful, hey, hike, into, know, lgbtq, made, mel, much, ok, people, ran"
conv-26_session_12_D12:10,,,
conv-26_session_12_D12:11,"caroline, go",go,"caroline, clinging, definitely, even, finding, go, going, happy, hard, keeps, key, life, like, lucky, mel, moments, people, remind, us"
conv-26_session_12_D12:12,,,
conv-26_session_12_D12:13,"appreciation, caroline, friendship, melanie",express,"appreciate, appreciation, caroline, corner, friendship, lot, means, melanie, thanks"
conv-26_session_12_D12:14,"melanie, value",value,"always, appreciate, caroline, friendship, melanie, value"
conv-26_session_12_D12:15,"caroline, friends, supportive",value,"always, blast, caroline, definitely, everything, fest, friends, last, make, mel, pride, supportive, worth, year"
conv-26_session_12_D12:16,"melanie, suggest",suggest,"blast, family, fun, gang, melanie, much, outing, suggest, summer, wanna, whole"
conv-26_session_12_D12:17,,,
conv-26_session_12_D12:18,,,
conv-26_session_12_D12:19,,,
conv-26_session_12_D12:2,"another, melanie, pottery, project",finish,"another, caroline, closed, finished, fyi, helps, hey, hike, melanie, minded, people, pic, pottery, project, really, see, sorry, strong, sucks, support"
conv-26_session_12_D12:20,,,
conv-26_session_12_D12:21,,,
conv-26_session_12_D12:3,,,
conv-26_session_12_D12:4,,,
conv-26_session_12_D12:5,,,
conv-26_session_12_D12:6,,,
conv-26_session_12_D12:7,,,
conv-26_session_12_D12:8,"happiness, melanie, pottery, project, source","consider, memory","always, art, brings, caroline, comfort, connection, experience, felt, fulfillment, glad, happiness, huge, learning, lot, mean, melanie, much, pottery, project, really"
conv-26_session_12_D12:9,"caroline, express",express,"anything, bring, caroline, else, express, found, glad, happy, important, joy, life, makes, short, something, surrounding, things, us"
conv-26_session_13_D13:1,"adoption, advice, assistance, becoming, caroline, first, group, help, mom, step, towards","attend, take","adoption, advice, agencies, applied, assistance, attended, becoming, big, caroline, child, decision, first, give, good, got, great, group, guess, help, hi"
