memory_id,triples
conv-26_session_10_D10:12,"(melanie, include, a_camping_trip_where_they_roast_marshmallows_and)"
conv-26_session_10_D10:14,"(melanie, watch, the_perseid_meteor_shower)"
conv-26_session_10_D10:20,"(melanie, treasure, the_memory_of_her_youngest_child_taking_her)"
conv-26_session_10_D10:3,"(caroline, join, a_new_lgbtq_activist_group_called_'_connected)"
conv-26_session_10_D10:5,"(caroline, support, each_other_and_positive_changes)"
conv-26_session_10_D10:7,"(caroline, participate, in_a_pride_parade)"
conv-26_session_10_D10:8,"(melanie, enjoy, family_beach_trips_with_her_kids)"
conv-26_session_11_D11:1,"(melanie, celebrate, her_daughter_'s_birthday); (melanie, value, special_moments)"
conv-26_session_11_D11:10,"(caroline, focus, focus)"
conv-26_session_11_D11:12,"(caroline, paint, paint)"
conv-26_session_11_D11:13,"(melanie, admire, caroline_'s_art)"
conv-26_session_11_D11:14,"(caroline, heal, heal)"
conv-26_session_11_D11:16,"(caroline, share, her_art_and_experiences)"
conv-26_session_11_D11:4,"(caroline, attend, a_pride_parade)"
conv-26_session_11_D11:7,"(melanie, appreciate, appreciate); (melanie, value, value)"
conv-26_session_11_D11:8,"(caroline, represent, inclusivity_and_diversity_in_her_art)"
conv-26_session_12_D12:1,"(caroline, run, into_a_group_of_religious_conservatives_who_upset_her); (caroline, accept, accept)"
conv-26_session_12_D12:11,"(caroline, go, go)"
conv-26_session_12_D12:13,"(caroline, express, appreciation_for_her_friendship_with_melanie)"
conv-26_session_12_D12:14,"(melanie, value, value)"
conv-26_session_12_D12:15,"(caroline, value, supportive_friends)"
conv-26_session_12_D12:16,"(melanie, suggest, suggest)"
conv-26_session_12_D12:2,"(melanie, finish, another_pottery_project)"
conv-26_session_12_D12:8,"(melanie, has_memory, Melanie_pottery_project_source_happiness); (melanie, consider, it)"
conv-26_session_12_D12:9,"(caroline, express, express)"
conv-26_session_13_D13:1,"(caroline, take, the_first_step_towards_becoming_a_mom_by); (caroline, attend, an_adoption_advice_assistance_group_to_help_with)"
conv-26_session_13_D13:10,"(melanie, enjoy, enjoy)"
conv-26_session_13_D13:13,"(caroline, express, herself)"
conv-26_session_13_D13:14,"(melanie, express, herself)"
conv-26_session_13_D13:15,"(caroline, promote, lgbtq_rights)"
conv-26_session_13_D13:3,"(caroline, name, oscar)"
conv-26_session_13_D13:4,"(melanie, include, another_cat_named_bailey)"
conv-26_session_13_D13:7,"(caroline, use, use); (caroline, love, horses)"
conv-26_session_13_D13:8,"(melanie, share, a_photo_of_her_horse_painting_that_she)"
conv-26_session_14_D14:1,"(caroline, go, last_week)"
conv-26_session_14_D14:10,"(melanie, volunteer, with_her_family)"
conv-26_session_14_D14:13,"(caroline, transition, transition)"
conv-26_session_14_D14:15,"(caroline, create, a_rainbow_flag_mural_symbolizing_courage_and_strength)"
conv-26_session_14_D14:16,"(melanie, admire, caroline_'s_courage_as_a_trans_person)"
conv-26_session_14_D14:19,"(caroline, stain, stain)"
conv-26_session_14_D14:23,"(caroline, remind, her)"
conv-26_session_14_D14:30,"(melanie, paint, paint)"
conv-26_session_14_D14:32,"(melanie, create, a_painting_inspired_by_autumn)"
conv-26_session_14_D14:33,"(caroline, organize, an_lgbtq_art_show)"
conv-26_session_14_D14:4,"(melanie, relax, relax)"
conv-26_session_14_D14:7,"(caroline, paint, a_vivid_sunset_inspired_by_a_beach_visit)"
conv-26_session_15_D15:11,"(caroline, involve, involve)"
conv-26_session_15_D15:19,"(caroline, mention, mention)"
conv-26_session_15_D15:2,"(melanie, take, her_kids)"
conv-26_session_15_D15:21,"(caroline, start, start)"
conv-26_session_15_D15:23,"(caroline, resonate, with_her_journey_and_determination)"
conv-26_session_15_D15:26,"(melanie, play, the_clarinet)"
conv-26_session_15_D15:28,"(melanie, enjoy, classical_music_like_bach_and_mozart_,_as)"
conv-26_session_15_D15:3,"(caroline, volunteer, at_an_lgbtq+_youth_center)"
conv-26_session_15_D15:5,"(caroline, share, her_story)"
conv-26_session_15_D15:9,"(caroline, plan, plan)"
conv-26_session_16_D16:1,"(caroline, spend, time)"
conv-26_session_16_D16:13,"(caroline, represent, her_journey)"
conv-26_session_16_D16:15,"(caroline, change, change)"
conv-26_session_16_D16:2,"(melanie, enjoy, camping_with_her_kids_,_exploring_the_forest)"
conv-26_session_16_D16:4,"(melanie, see, see)"
conv-26_session_16_D16:5,"(caroline, make, a_difference_for_the_lgbtq+_community)"
conv-26_session_16_D16:7,"(caroline, create, art)"
conv-26_session_16_D16:8,"(melanie, find, a_passion_for_painting_and_pottery); (melanie, use, painting_and_pottery)"
conv-26_session_16_D16:9,"(caroline, use, art)"
conv-26_session_17_D17:1,"(caroline, contact, her_mentor)"
conv-26_session_17_D17:10,"(melanie, continue, continue)"
conv-26_session_17_D17:13,"(melanie, enjoy, enjoy)"
conv-26_session_17_D17:16,"(melanie, use, it)"
conv-26_session_17_D17:19,"(caroline, go, to_a_transgender_poetry_reading_event_that_was_empowering_and_celebrated_self___expression)"
conv-26_session_17_D17:23,"(caroline, inspire, inspire)"
conv-26_session_17_D17:3,"(caroline, see, adoption)"
conv-26_session_17_D17:7,"(caroline, recommend, recommend)"
conv-26_session_17_D17:8,"(melanie, lead, her)"
conv-26_session_18_D18:1,"(melanie, go, on_a_road_trip_with_her_family_which_started_off_with_an_accident_involving_her_son); (melanie, get, into_an_accident)"
conv-26_session_18_D18:10,"(caroline, give, strength)"
conv-26_session_18_D18:12,"(caroline, appreciate, appreciate)"
conv-26_session_18_D18:18,"(caroline, refresh, refresh)"
conv-26_session_18_D18:19,"(melanie, find, peace_and_serenity_in_nature)"
conv-26_session_18_D18:2,"(caroline, acknowledge, acknowledge)"
conv-26_session_18_D18:21,"(melanie, refresh, her_soul)"
conv-26_session_18_D18:22,"(caroline, appreciate, the_peaceful_and_calming_nature_of_spending_quality)"
conv-26_session_18_D18:5,"(melanie, visit, the_grand_canyon)"
conv-26_session_19_D19:1,"(caroline, pass, the_adoption_agency_interviews)"
conv-26_session_19_D19:10,"(melanie, express, happiness_for_caroline_finding_her_true_self_and)"
conv-26_session_19_D19:13,"(melanie, value, the_mutual_support_they_provide_to_each_other)"
conv-26_session_19_D19:2,"(melanie, buy, figurines_that_remind_her_of_family_love)"
conv-26_session_19_D19:3,"(caroline, include, include)"
conv-26_session_19_D19:6,"(melanie, appreciate, caroline_'s_passion_for_helping_kids)"
conv-26_session_19_D19:7,"(caroline, offer, love_and_support); (caroline, go, through_a_tough_process_of_finding_self___acceptance)"
conv-26_session_19_D19:8,"(melanie, respect, caroline_'s_journey_of_finding_acceptance)"
conv-26_session_19_D19:9,"(caroline, receive, invaluable_help); (caroline, bring, comfort_and_support)"
conv-26_session_1_D1:14,"(melanie, paint, a_lake_sunrise)"
conv-26_session_1_D1:16,"(melanie, express, her_feelings)"
conv-26_session_1_D1:18,"(melanie, go, go)"
conv-26_session_1_D1:2,"(melanie, manage, kids_and_work)"
conv-26_session_1_D1:3,"(caroline, attend, an_lgbtq_support_group)"
conv-26_session_1_D1:7,"(caroline, accept, accept)"
conv-26_session_1_D1:9,"(caroline, plan, plan)"
conv-26_session_2_D2:1,"(melanie, run, a_charity_race_for_mental_health)"
conv-26_session_2_D2:12,"(caroline, choose, an_adoption_agency_that_helps_lgbtq+_folks_with)"
conv-26_session_2_D2:14,"(caroline, create, a_family_for_kids_who_need_one)"
conv-26_session_2_D2:3,"(melanie, realize, the_importance_of_self_care_and_its_impact)"
conv-26_session_2_D2:5,"(melanie, carve, me)"
conv-26_session_2_D2:7,"(melanie, consider, consider)"
conv-26_session_2_D2:8,"(caroline, research, adoption_agencies)"
conv-26_session_3_D3:1,"(caroline, start, start); (caroline, give, a_talk)"
conv-26_session_3_D3:11,"(caroline, motivate, her)"
conv-26_session_3_D3:13,"(caroline, move, from_her_home_country)"
conv-26_session_3_D3:14,"(melanie, have, a_husband_and_kids_who_keep_her_motivated)"
conv-26_session_3_D3:16,"(melanie, marry, for_5_years)"
conv-26_session_3_D3:2,"(melanie, spread, awareness)"
conv-26_session_3_D3:20,"(melanie, value, family_moments)"
conv-26_session_3_D3:22,"(melanie, cherish, time)"
